item1,item2,geo_dist,lc_dist
CH,CC,14254.98581238713,2275097.1425785073
EG,CC,9875.913840383724,1275303.5117078775
EG,CH,5095.029403186062,1160708.237549146
FF,CC,11382.15234883767,1032448.2350241316
FF,CH,11938.466524405907,1701860.3772127333
FF,EG,7663.620273043004,603352.925027209
KE,CC,5207.8437300430915,853698.3019356298
KE,CH,13032.286837417689,1892610.588249586
KE,EG,7953.871908528996,755260.2894970125
KE,FF,6375.5905134986615,333979.1183974764
NE,CC,15906.233685594765,1535593.5316540564
NE,CH,15593.335253590298,1024194.0368298274
NE,EG,12082.170163860968,311867.9961582749
NE,FF,4886.135971583646,715383.1329698637
NE,KE,10717.074120878138,937949.4210747425
NT,CC,6238.874906416626,1028183.4490114646
NT,CH,8077.764497482361,1771849.0653573677
NT,EG,3745.8942988678164,641425.8617867609
NT,FF,8576.005648493498,246551.73822817256
NT,KE,5784.530855958093,323916.80443869805
NT,NE,13443.320191511351,780992.8143708423
OC,CC,2298.0855928168576,1135281.909617362
OC,CH,15063.304704004839,1925447.6873623154
OC,EG,10284.116416243492,1027404.4025574566
OC,FF,10138.131520359751,857789.2789542715
OC,KE,3763.696573131822,740309.2035036591
OC,NE,14353.068651970823,1129470.5245005535
OC,NT,7022.657694035998,848602.3534540649
RB,CC,12034.508512441083,2083051.489367355
RB,CH,3272.5770756554534,475825.47788261843
RB,EG,4875.660310264176,888301.4569208911
RB,FF,12532.111382280304,1359792.900638427
RB,KE,11944.437183560056,1592185.291518477
RB,NE,16815.573593740704,667205.3869619992
RB,NT,6311.67122603407,1425007.3874635021
RB,OC,13232.496478811921,1672146.287484707
SG,CC,1656.057321675818,799294.7102942972
SG,CH,13075.378120080337,2053300.4033836734
SG,EG,8475.35759802957,902164.096262734
SG,FF,9767.79673739898,520635.74718052376
SG,KE,3752.104786945382,258809.99100798942
SG,NE,14358.89339323423,1114645.8423104624
SG,NT,4997.751085149728,474060.7136280706
SG,OC,2168.6906202354457,884896.804761876
SG,RB,11109.880084775466,1770304.826561422
SP,CC,2472.7916846992894,336617.55824509345
SP,CH,16727.610188280385,2549859.4527500705
SP,EG,12306.273889009424,1593382.3394227903
SP,FF,13009.198165483207,1343941.8908052205
SP,KE,6635.079274447348,1172355.0200837438
SP,NE,17232.365764610437,1851643.0963009282
SP,NT,8703.998278562567,1336495.3684976073
SP,OC,2887.691643353578,1412113.431932199
SP,RB,14467.809887157508,2373710.932206035
SP,SG,3872.243298426226,1105622.9701892051
SW,CC,6464.806542757296,1442733.5299123442
SW,CH,16367.857204494741,1146550.4819743244
SW,EG,13507.75589409259,435532.08863157005
SW,FF,17331.273743001795,633687.9292820542
SW,KE,11547.408661706004,897129.5165229302
SW,NE,22067.016273518228,298215.2432947272
SW,NT,9956.411564413247,735713.6435695919
SW,OC,8621.537816470329,1093566.4358226152
SW,RB,13319.865730125435,774122.8858966056
SW,SG,7795.959938193115,1101011.680225661
SW,SP,6598.112641378844,1741487.02455274
WP,CC,5377.16017378479,1527656.9778032994
WP,CH,10795.022167072972,1219663.3656090884
WP,EG,7969.960617597664,394936.52009883535
WP,FF,13019.543287893914,609030.1309550382
WP,KE,8510.746118900071,849504.8186280183
WP,NE,17903.13426618976,224095.0264359594
WP,NT,4709.665348340398,649569.0950494284
WP,OC,7417.106148012105,1107548.815591339
WP,RB,7890.934106670505,825735.6568606633
WP,SG,5437.334537032021,1024089.1830109329
WP,SP,7406.5753021325545,1845776.0490003475
WP,SW,5648.531297170121,345371.26041406515
