Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, GDD
2017-01-01, 45, 31, 38.0, M, 0.00, 0
2017-01-02, 53, 41, 47.0, 41, 0.16, 0
2017-01-03, 43, 38, 40.5, M, S, 0
2017-01-04, 47, 41, 44.0, 47, 0.56A, 0
2017-01-05, 54, 36, 45.0, 36, 0.00, 0
2017-01-06, 36, 28, 32.0, 29, M, 0
2017-01-07, 33, 25, 29.0, 25, 0.02, 0
2017-01-08, 26, 20, 23.0, 20, 0.08, 0
2017-01-09, 25, 15, 20.0, 18, 0.00, 0
2017-01-10, 25, 15, 20.0, 25, 0.00, 0
2017-01-11, 40, 20, 30.0, 40, 0.25, 0
2017-01-12, 53, 40, 46.5, 53, 0.22, 0
2017-01-13, 66, 47, 56.5, 47, 0.00, 7
2017-01-14, 62, 35, 48.5, 35, 0.00, 0
2017-01-15, 36, 30, 33.0, 32, 0.00, 0
2017-01-16, 41, 31, 36.0, 31, T, 0
2017-01-17, 44, 27, 35.5, 40, 0.00, 0
2017-01-18, 45, 38, 41.5, 42, 0.58, 0
2017-01-19, 47, 40, 43.5, 45, T, 0
2017-01-20, 48, 42, 45.0, 42, 0.00, 0
2017-01-21, 43, 37, 40.0, M, T, 0
2017-01-22, 47, 43, 45.0, 45, T, 0
2017-01-23, 50, 45, 47.5, 45, 0.02, 0
2017-01-24, 46, 37, 41.5, 38, 0.88, 0
2017-01-25, 45, 36, 40.5, 45, 0.00, 0
2017-01-26, 55, 40, 47.5, 47, T, 0
2017-01-27, 55, 43, 49.0, 44, 0.00, 0
2017-01-28, 44, 35, 39.5, 36, 0.00, 0
2017-01-29, 40, 34, 37.0, 38, T, 0
2017-01-30, 40, 34, 37.0, 34, 0.00, 0
2017-01-31, 39, 30, 34.5, 31, M, 0
2017-02-01, 40, 27, 33.5, 40, 0.00, 0
2017-02-02, 49, 37, 43.0, 40, 0.00, 0
2017-02-03, 47, 34, 40.5, 34, 0.00, 0
2017-02-04, 47, 34, 40.5, 34, 0.00, 0
2017-02-05, 36, 22, 29.0, 35, 0.00, 0
2017-02-06, 43, 30, 36.5, 43, 0.00, 0
2017-02-07, 55, 39, 47.0, 48, 0.00, 0
2017-02-08, 50, 42, 46.0, 50, T, 0
2017-02-09, 66, 42, 54.0, 42, 0.60, 4
2017-02-10, 49, 23, 36.0, 25, T, 0
2017-02-11, 33, 22, 27.5, 33, 0.00, 0
2017-02-12, 46, 33, 39.5, 41, 0.23, 0
2017-02-13, 41, 33, 37.0, 33, 0.00, 0
2017-02-14, 45, 30, 37.5, 39, 0.00, 0
2017-02-15, 45, 30, 37.5, M, 0.00, 0
2017-02-16, 52, 36, 44.0, 36, 0.00, 0
2017-02-17, 39, 31, 35.0, 31, 0.00, 0
2017-02-18, 47, 28, 37.5, 41, 0.00, 0
2017-02-19, 68, 33, 50.5, 61, 0.00, 1
2017-02-20, 71, 55, 63.0, 55, 0.00, 13
2017-02-21, 59, 45, 52.0, 45, 0.00, 2
2017-02-22, 54, 37, 45.5, 45, 0.00, 0
2017-02-23, 60, 42, 51.0, 53, T, 1
2017-02-24, 73, 49, 61.0, 62, 0.00, 11
2017-02-25, 75, 56, 65.5, 65, 0.00, 16
2017-02-26, 74, 36, 55.0, 36, 0.54, 5
2017-02-27, 48, 36, 42.0, 44, 0.00, 0
2017-02-28, 54, 35, 44.5, 54, 0.00, 0
2017-03-01, 54, 35, 44.5, 54, T, 0
2017-03-02, 73, 54, 63.5, 56, 0.00, 14
2017-03-03, 63, 38, 50.5, 38, 0.00, 1
2017-03-04, 41, 29, 35.0, 29, T, 0
2017-03-05, 36, 22, 29.0, 25, 0.00, 0
2017-03-06, 39, 15, 27.0, 39, 0.00, 0
2017-03-07, 52, 29, 40.5, 46, 0.02, 0
2017-03-08, 66, 43, 54.5, 51, 0.00, 5
2017-03-09, 64, 49, 56.5, 59, 0.00, 7
2017-03-10, 68, 33, 50.5, 33, 0.14, 1
2017-03-11, 51, 29, 40.0, 29, 0.14, 0
2017-03-12, 32, 20, 26.0, 25, T, 0
2017-03-13, 34, 23, 28.5, 28, 0.00, 0
2017-03-14, 42, 23, 32.5, M, S, 0
2017-03-15, 33, 23, 28.0, 23, 1.43A, 0
2017-03-16, 31, 20, 25.5, 29, T, 0
2017-03-17, 39, 25, 32.0, 34, 0.00, 0
2017-03-18, 45, 29, 37.0, 38, 0.00, 0
2017-03-19, 41, 36, 38.5, 37, 0.00, 0
2017-03-20, 50, 35, 42.5, M, 0.00, 0
2017-03-21, 54, 34, 44.0, 44, 0.00, 0
2017-03-22, 60, 43, 51.5, 43, 0.00, 2
2017-03-23, 53, 28, 40.5, 31, 0.00, 0
2017-03-24, 48, 24, 36.0, 40, 0.00, 0
2017-03-25, 57, 34, 45.5, 56, 0.00, 0
2017-03-26, 77, 45, 61.0, 45, 0.02, 11
2017-03-27, 45, 40, 42.5, 44, T, 0
2017-03-28, 61, 41, 51.0, 50, 0.77, 1
2017-03-29, 53, 48, 50.5, 48, 0.30, 1
2017-03-30, M, M, M, M, 0.00, M
2017-03-31, 52, 42, 47.0, 42, 0.45, 0
2017-04-01, 47, 42, 44.5, 42, 1.30, 0
2017-04-02, 52, 38, 45.0, 47, 0.00, 0
2017-04-03, 64, 41, 52.5, 57, 0.00, 3
2017-04-04, 70, 49, 59.5, 63, 0.40, 10
2017-04-05, 77, 51, 64.0, 58, 0.00, 14
2017-04-06, 70, 50, 60.0, 50, 0.09, 10
2017-04-07, 59, 45, 52.0, 51, 1.58, 2
2017-04-08, 51, 41, 46.0, 45, T, 0
2017-04-09, 60, 39, 49.5, 54, 0.00, 0
2017-04-10, 71, 42, 56.5, 58, 0.00, 7
2017-04-11, 81, 50, 65.5, 65, 0.00, 16
2017-04-12, 85, 59, 72.0, 69, 0.00, 22
2017-04-13, 78, 62, 70.0, 62, 0.00, 20
2017-04-14, 67, 49, 58.0, 56, 0.00, 8
2017-04-15, 70, 50, 60.0, 54, 0.00, 10
2017-04-16, 68, 50, 59.0, 68, T, 9
2017-04-17, 88, 60, 74.0, 71, 0.02, 24
2017-04-18, 73, 61, 67.0, 61, 0.03, 17
2017-04-19, 71, 50, 60.5, 52, 0.00, 11
2017-04-20, 71, 50, 60.5, 61, 0.00, 11
2017-04-21, 77, 54, 65.5, 54, 0.24, 16
2017-04-22, 62, 51, 56.5, 56, 0.15, 7
2017-04-23, 57, 50, 53.5, 53, 0.16, 4
2017-04-24, 67, 46, 56.5, M, 0.00, 7
2017-04-25, 60, 50, 55.0, 53, 0.03, 5
2017-04-26, 57, 52, 54.5, 57, 0.73, 5
2017-04-27, 66, 57, 61.5, 65, T, 12
2017-04-28, 82, 65, 73.5, 77, 0.03, 24
2017-04-29, 87, 69, 78.0, M, M, 28
2017-04-30, 89, 65, 77.0, 67, 0.05, 27
2017-05-01, 73, 50, 61.5, 58, 0.00, 12
2017-05-02, 84, 58, 71.0, 71, 0.05, 21
2017-05-03, 76, 59, 67.5, 61, 0.00, 18
2017-05-04, 67, 51, 59.0, 58, 0.00, 9
2017-05-05, 67, 53, 60.0, 58, 0.21, 10
2017-05-06, 70, 58, 64.0, 61, 1.20, 14
2017-05-07, 65, 50, 57.5, 53, 0.00, 8
2017-05-08, 56, 43, 49.5, 49, 0.05, 0
2017-05-09, 61, 46, 53.5, 54, T, 4
2017-05-10, 65, 52, 58.5, 56, 0.00, 9
2017-05-11, 71, 50, 60.5, 56, 0.00, 11
2017-05-12, 61, 50, 55.5, 55, 0.00, 6
2017-05-13, 60, 49, 54.5, 50, 1.20, 5
2017-05-14, 57, 47, 52.0, 57, 0.90, 2
2017-05-15, 73, 52, 62.5, 60, 0.00, 13
2017-05-16, 73, 57, 65.0, 67, 0.00, 15
2017-05-17, 74, 57, 65.5, 74, 0.00, 16
2017-05-18, 93, 63, 78.0, 80, 0.00, 28
2017-05-19, 94, 74, 84.0, 85, 0.00, 34
2017-05-20, 94, 61, 77.5, 61, 0.12, 28
2017-05-21, 79, 57, 68.0, 63, 0.00, 18
2017-05-22, 74, 53, 63.5, 58, 0.06, 14
2017-05-23, 65, 55, 60.0, 62, 0.40, 10
2017-05-24, 67, 60, 63.5, 61, 0.17, 14
2017-05-25, 71, 55, 63.0, 55, 0.83, 13
2017-05-26, 66, 54, 60.0, 66, 1.85, 10
2017-05-27, 76, 58, 67.0, 68, T, 17
2017-05-28, 75, 59, 67.0, 71, 0.00, 17
2017-05-29, 79, 58, 68.5, 58, 0.40, 19
2017-05-30, 62, 57, 59.5, 58, 0.06, 10
2017-05-31, 62, 56, 59.0, 62, 0.06, 9
2017-06-01, 82, 60, 71.0, 75, T, 21
2017-06-02, 83, 65, 74.0, 73, 0.00, 24
2017-06-03, 81, 61, 71.0, 61, 0.02, 21
2017-06-04, 77, 59, 68.0, 70, 0.00, 18
2017-06-05, 81, 59, 70.0, 74, 0.00, 20
